Variable.Name,sample_vardesc,sample_tablename,epcf,n,category,subcategory
DR2TCARB,Carbohydrate (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TCHL,Total choline (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,7,nutrients,dietary interview
DR2TCHOL,Cholesterol (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TCOPP,Copper (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TCRYP,Beta-cryptoxanthin (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TFA,Folic acid (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TFDFE,Folate as dietary folate equivalents (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TFF,Food folate (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TFIBE,Dietary fiber (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TFOLA,Total Folate (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TIRON,Iron (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TKCAL,Energy (kcal),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TLYCO,Lycopene (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TLZ,Lutein + zeaxanthin (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TM161,MFA 16:1 (Hexadecenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TM181,MFA 18:1 (Octadecenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TM201,MFA 20:1 (Eicosenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TM221,MFA 22:1 (Docosenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TMAGN,Magnesium (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TMFAT,Total monounsaturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TMOIS,Moisture (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TNIAC,Niacin (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TNUMF,Total number of foods reported in the individual foods file,"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP182,PFA 18:2 (Octadecadienoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP183,PFA 18:3 (Octadecatrienoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP184,PFA 18:4 (Octadecatetraenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP204,PFA 20:4 (Eicosatetraenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP205,PFA 20:5 (Eicosapentaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP225,PFA 22:5 (Docosapentaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TP226,PFA 22:6 (Docosahexaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TPFAT,Total polyunsaturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TPHOS,Phosphorus (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TPOTA,Potassium (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TPROT,Protein (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TRET,Retinol (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS040,SFA 4:0 (Butanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS060,SFA 6:0 (Hexanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS080,SFA 8:0 (Octanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS100,SFA 10:0 (Decanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS120,SFA 12:0 (Dodecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS140,SFA 14:0 (Tetradecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS160,SFA 16:0 (Hexadecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TS180,SFA 18:0 (Octadecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TSELE,Selenium (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TSFAT,Total saturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TSODI,Sodium (mg) (adjusted for salt use in food preparation),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TSUGR,Total sugars (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TTFAT,Total fat (gm),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TTHEO,Theobromine (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVARA,Vitamin A as retinol activity equivalents (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVB1,Thiamin (Vitamin B1) (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVB12,Vitamin B12 (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVB2,Riboflavin (Vitamin B2) (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVB6,Vitamin B6 (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVC,Vitamin C (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TVD,Vitamin D (D2 + D3) (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,6,nutrients,dietary interview
DR2TVK,Vitamin K (mcg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DR2TWS,Tap Water Source,"Dietary Interview - Total Nutrient Intakes, Second Day",e,7,nutrients,dietary interview
DR2TWSZ,"When you drink tap water, what is the main source of the tap water?","Dietary Interview - Total Nutrient Intakes, Second Day",e,1,nutrients,dietary interview
DR2TZINC,Zinc (mg),"Dietary Interview - Total Nutrient Intakes, Second Day",e,8,nutrients,dietary interview
DRABF,Indicates whether the sample person was an infant who was breast-fed on eit,"Dietary Interview - Total Nutrient Intakes, First Day",e,16,nutrients,dietary interview
DRALANG,The SP/Proxy spoke mostly:,Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRARESP,Who was the main respondent for the interview?,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRASCST2,Post dietary recall section status,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRD300,"Was the amount of food that {you/NAME} ate yesterday much more than usual, ",Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRD320GW,How much plain water did you drink yesterday?  Indicate only plain tap wate,Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRD330GW,How much of the plain water you drank was home tap water?,Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRD340,Please look at this list of shellfish. During the past 30 days did you eat ,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350A,Clams eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350AQ,Number of times clams were eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350B,Crabs eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350BQ,Number of times crab was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350C,Crayfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350CQ,Number of times crayfish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350D,Lobsters eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350DQ,Number of times lobster was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350E,Mussels eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350EQ,Number of times mussels were eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350F,Oysters eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350FQ,Number of times oysters were eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350G,Scallops eaten during the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350GQ,Number of times scallops were eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350H,Shrimp eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350HQ,Number of times shrimp was eaten in the last 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350I,"Other shellfish ( ex. octopus, squid) eaten during past 30 days","Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350IQ,"Number of times other shellfish (ex. octopus, squid) was eaten in the past ","Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350J,Other unknown shellfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD350JQ,Number of times other unknown shellfish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD350K,Refused to give detailed information on shellfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD360,Please look at this list of fish. During the past 30 days did you eat any t,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370A,Breaded fish products eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370AQ,Number of times breaded fish products were eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370B,Tuna eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370BQ,Number of times tuna was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370C,Bass eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370CQ,Number of times bass was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370D,Catfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370DQ,Number of times catfish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370E,Cod eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370EQ,Number of times cod was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370F,Flatfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370FQ,Number of times flatfish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370G,Haddock eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370GQ,Number of times haddock was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370H,Mackerel eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370HQ,Number of times mackerel was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370I,Perch eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370IQ,Number of times perch was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370J,Pike eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370JQ,Number of times pike was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370K,Pollock eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370KQ,Number of times pollock was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370L,Porgy eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370LQ,Number of times porgy was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370M,Salmon eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370MQ,Number of times salmon was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370N,Sardines eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370NQ,Number of times sardines were eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370O,Sea bass eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370OQ,Number of times sea bass was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370P,Shark eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370PQ,Number of times shark was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370Q,Swordfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370QQ,Number of times swordfish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370R,Trout eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370RQ,Number of times trout was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370S,Walleye eaten during the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370SQ,Number of times walleye was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370T,Other type of fish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370TQ,Number of times other type of fish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370U,Other unknown type eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRD370UQ,Number of times other unknown type of fish was eaten in the past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,9,nutrients,dietary interview
DRD370V,Refused to give detailed information on fish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day",e,10,nutrients,dietary interview
DRDAINMD,Assigned mode of interview,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDCWATR,Plain carbonated water drank yesterday - including unsweetened carbonated w,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDDAY,Intake day of the week,Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRDDRSTS,Dietary recall status,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDDRSTZ,Dietary recall status,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDEXMER,Interviewer ID code (sequential #),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRDINT,Indicates whether the sample person has intake data for one or two days.,"Dietary Interview - Total Nutrient Intakes, First Day",e,28,nutrients,dietary interview
DRDINTMD,Mode of interview,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDRESP,Who was the main respondent for the interview?,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDTSODF,Salt adjustment flag,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRDTSODI,Sodium (mg) (adjusted for salt use in food preparation),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRQ300,"Was the amount of food you ate yesterday about usual, less than usual, or m",Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ340,Please look at this list of shellfish. During the past 30 days did you eat ,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350AQ,Number of times clams were eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350BQ,Number of times crab was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350CQ,Number of times crayfish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350DQ,Number of times lobster was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350EQ,Number of times mussels was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350FQ,Number of times oysters was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350GQ,Number of times scallops was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350HQ,Number of times shrimp was eaten in the last 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350IQ,"Number of times other shellfish (ex. octopus, squid) was eaten in the past ",Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ350JQ,Number of times other unknown shellfish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ360,Please look at this list of fish. During the past 30 days did you eat any t,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370AQ,Number of times breaded fish products was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370BQ,Number of times tuna was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370CQ,Number of times bass was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370DQ,Number of times catfish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370EQ,Number of times cod was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370FQ,Number of times flatfish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370GQ,Number of times haddock was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370HQ,Number of times mackerel was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370IQ,Number of times perch was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370JQ,Number of times pike was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370KQ,Number of times pollock was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370LQ,Number of times porgy was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370MQ,Number of times salmon was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370NQ,Number of times sardines was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370OQ,Number of times sea bass was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370PQ,Number of times shark was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370QQ,Number of times swordfish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370RQ,Number of times trout was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370SQ,Number of times walleye was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370TQ,Number of times other type of fish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQ370UQ,Number of times other unknown type of fish was eaten in the past 30 days,Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRQSDIET,"Are you <b>currently</b> on any kind of diet, either to lose weight or for ","Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT1,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT10,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,6,nutrients,dietary interview
DRQSDT11,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,5,nutrients,dietary interview
DRQSDT12,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,5,nutrients,dietary interview
DRQSDT2,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT3,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT4,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT5,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT6,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT7,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT8,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSDT9,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,6,nutrients,dietary interview
DRQSDT91,What kind of diet are you on? (Is it a weight loss or low calorie diet: low,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRQSPREP,How often is ordinary salt or seasoned salt added in <B>cooking or preparin,"Dietary Interview - Total Nutrient Intakes, First Day",e,8,nutrients,dietary interview
DRXTACAR,Alpha-carotene (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTALCO,Alcohol (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTATOC,Vitamin E as alpha-tocopherol (mg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTBCAR,Beta-carotene (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTCAFF,Caffeine (mg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTCALC,Calcium (mg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTCARB,Carbohydrate (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTCARO,Carotene (RE),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTCHOL,Cholesterol (mg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTCOPP,Copper (mg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTCRYP,Beta-cryptoxanthin (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTFA,Folic acid (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTFDFE,Folate as dietary folate equivalents (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTFF,Food folate (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTFIBE,Dietary fiber (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTFOLA,Total Folate (mcg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTIRON,Iron (mg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTKCAL,Energy (kcal),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTLYCO,Lycopene (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTLZ,Lutein + zeaxanthin (mcg),Dietary Interview - Total Nutrient Intakes,e,1,nutrients,dietary interview
DRXTM161,MFA 16:1 (Hexadecenoic) (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTM181,MFA 18:1 (Octadecenoic) (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTM201,MFA 20:1 (Eicosenoic) (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTM221,MFA 22:1 (Docosenoic) (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTMAGN,Magnesium (mg),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
DRXTMFAT,Total monounsaturated fatty acids (gm),Dietary Interview - Total Nutrient Intakes,e,2,nutrients,dietary interview
