Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,n,select
DBQ110,{Do you/Does SP} ever eat poultry such as chicken and turkey? Please includ,DBQ,Diet Behavior & Nutrition,1,
DBQ120,"When {you eat/SP eats} chicken or other types of poultry, how often {do you",DBQ,Diet Behavior & Nutrition,1,
DBQ130,"{Do you/Does SP} ever eat meat such as beef, pork, lamb or veal? Please inc",DBQ,Diet Behavior & Nutrition,1,
DBQ140,"When {you eat/SP eats} meat, how often {do you/does s/he} eat the visible f",DBQ,Diet Behavior & Nutrition,1,
DBQ220a,What type of milk was it?  Was it usually . . .,DBQ,Diet Behavior & Nutrition,1,
DBQ220b,What type of milk was it?  Was it usually . . .,DBQ,Diet Behavior & Nutrition,1,
DBQ220c,What type of milk was it?  Was it usually . . .,DBQ,Diet Behavior & Nutrition,1,
DBQ220d,What type of milk was it?  Was it usually . . .,DBQ,Diet Behavior & Nutrition,1,
DBQ300,The next questions are about meals provided by community or government prog,DBQ,Diet Behavior & Nutrition,1,
DBQ420,"{Do you/Does SP} get those breakfast free, at a reduced price, or {do you/d",DBQ,Diet Behavior & Nutrition,1,
DBD381,"During the school year, about how many times a week {do you/does SP} usuall",DBQ_B,Diet Behavior & Nutrition,9,
DBD411,"During the school year, about how many times a week {do you/does SP} usuall",DBQ_B,Diet Behavior & Nutrition,9,
DBQ360,"During the school year, {do you/does SP} attend a kindergarten, grade schoo",DBQ_B,Diet Behavior & Nutrition,9,
DBQ370,Does {your/SP's} school serve school lunches?  These are complete lunches t,DBQ_B,Diet Behavior & Nutrition,9,
DBQ400,Does {your/SP's} school serve a complete breakfast that costs the same ever,DBQ_B,Diet Behavior & Nutrition,9,
DBD071a,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD071b,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD071c,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD071d,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD071u,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD102,"During the past 12 months, how often per day, per week, per month or per ye",DBQ_B,Diet Behavior & Nutrition,1,
DBD103,"During the past 12 months, how often per day, per week, per month or per ye",DBQ_B,Diet Behavior & Nutrition,1,
DBD196,Now I'm going to ask a few questions about milk products.  Do not include t,DBQ_B,Diet Behavior & Nutrition,1,
DBD221a,What type of milk was it?  Was it usually . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD221b,What type of milk was it?  Was it usually . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD221c,What type of milk was it?  Was it usually . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD221d,What type of milk was it?  Was it usually . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD221u,What type of milk was it?  Was it usually . . .,DBQ_B,Diet Behavior & Nutrition,1,
DBD229,The next question is about regular milk use.  A regular milk drinker is som,DBQ_B,Diet Behavior & Nutrition,1,
DBD235ae,"Now, I'm going to ask you how often {you/SP} drank milk at different times ",DBQ_B,Diet Behavior & Nutrition,1,
DBD235be,"Now, I'm going to ask you how often {you/SP} drank milk at different times ",DBQ_B,Diet Behavior & Nutrition,1,
DBD235ce,"Now, I'm going to ask you how often {you/SP} drank milk at different times ",DBQ_B,Diet Behavior & Nutrition,1,
DBD301,The next questions are about meals provided by community or government prog,DBQ_B,Diet Behavior & Nutrition,1,
DBD421,"{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/",DBQ_B,Diet Behavior & Nutrition,1,
DBQ229,The next question is about regular milk use.  A regular milk drinker is som,DBQ_C,Diet Behavior & Nutrition,8,
DBQ235A,"Now, I'm going to ask you how often {you/SP} drank milk at different times ",DBQ_C,Diet Behavior & Nutrition,8,
DBQ235B,"Now, I'm going to ask you how often {you/SP} drank milk at different times ",DBQ_C,Diet Behavior & Nutrition,8,
DBQ235C,"Now, I'm going to ask you how often {you/SP} drank milk at different times ",DBQ_C,Diet Behavior & Nutrition,8,
DBQ301,The next questions are about meals provided by community or government prog,DBQ_C,Diet Behavior & Nutrition,8,
DBQ421,"{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/",DBQ_C,Diet Behavior & Nutrition,8,
DBQ424,(Do you/Does SP) get a free or reduced price meal at any summer program (he,DBQ_C,Diet Behavior & Nutrition,8,
DBD197,Now I'm going to ask a few questions about milk products.  Do not include t,DBQ_C,Diet Behavior & Nutrition,1,
DBQ071A,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ071B,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ071C,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ071D,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ071U,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ221A,What type of milk was it?  Was it usually . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ221B,What type of milk was it?  Was it usually . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ221C,What type of milk was it?  Was it usually . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ221D,What type of milk was it?  Was it usually . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ221U,What type of milk was it?  Was it usually . . .,DBQ_C,Diet Behavior & Nutrition,1,
DBQ197,Now I'm going to ask a few questions about milk products.  Do not include t,DBQ_D,Diet Behavior & Nutrition,7,
DBQ700,"Next I have some questions about {your/SP?s} eating habits.  In general, ho",DBQ_D,Diet Behavior & Nutrition,7,
DBD072A,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD072B,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD072C,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD072D,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD072U,What type of milk was {SP} first fed on a daily basis?  Was it . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD222A,What type of milk was it?  Was it usually . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD222B,What type of milk was it?  Was it usually . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD222C,What type of milk was it?  Was it usually . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD222D,What type of milk was it?  Was it usually . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD222U,What type of milk was it?  Was it usually . . .,DBQ_D,Diet Behavior & Nutrition,2,
DBD091,"Next, Im going to ask you about meals.  By meal, I mean breakfast, lunch an",DBQ_D,Diet Behavior & Nutrition,1,
DBQ720,Have you heard of the 'Dietary Guidelines for Americans'?,DBQ_D,Diet Behavior & Nutrition,1,
DBQ730,[Have you heard of] 'The Food Guide Pyramid'?,DBQ_D,Diet Behavior & Nutrition,1,
DBQ740,[Have you heard of] The 5-A-Day [for Better Health] Program?,DBQ_D,Diet Behavior & Nutrition,1,
DBQ750,Here is an example of a food label.  [HAND CARD DBQ4]  This part of the foo,DBQ_D,Diet Behavior & Nutrition,1,
DBQ760,"How about the list of ingredients?
[How often do you use the list of ingre",DBQ_D,Diet Behavior & Nutrition,1,
DBQ770,"How about the information on the size of a serving?
[How often do you use ",DBQ_D,Diet Behavior & Nutrition,1,
DBQ780,Some food packages contain health claims about the benefits of nutrients or,DBQ_D,Diet Behavior & Nutrition,1,
DBQ790,"When you use the food label to decide about a food product, how often do yo",DBQ_D,Diet Behavior & Nutrition,1,
DBQ800,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ810,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ820,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ830,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ840,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ850,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ860,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ870,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ880,"[When you use the food label to decide about a food product, how often do y",DBQ_D,Diet Behavior & Nutrition,1,
DBQ890,"Would you say you strongly agree, somewhat agree, neither agree nor disagre",DBQ_D,Diet Behavior & Nutrition,1,
DBD895,"Next I'm going to ask you about meals.  By meal, I mean breakfast, lunch an",DBQ_E,Diet Behavior & Nutrition,6,
DBD900,How many of those meals {did you/did SP} get from a fast-food or pizza plac,DBQ_E,Diet Behavior & Nutrition,6,
DBD905,"Some grocery stores sell ""ready to eat"" foods such as salads, soups, chicke",DBQ_E,Diet Behavior & Nutrition,6,
DBD910,"During the past 30 days, how often did you {SP} eat frozen meals or frozen ",DBQ_E,Diet Behavior & Nutrition,6,
DBQ930,{Are you/Is SP} the person who does most of the planning or preparing of me,DBQ_E,Diet Behavior & Nutrition,3,
DBQ935,{Do you/Does SP} share in the planning or preparing of meals with someone e,DBQ_E,Diet Behavior & Nutrition,3,
DBQ940,{Are you/Is SP} the person who does most of the shopping for food in {your/,DBQ_E,Diet Behavior & Nutrition,3,
DBQ945,{Do you/Does SP} share in the shopping for food with someone else?,DBQ_E,Diet Behavior & Nutrition,3,
DBQ915,{Do you/Does SP} consider {yourself/himself/herself} to be a vegetarian?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ920,{Do you/Does SP} have any food allergies?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925a,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925b,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925c,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925d,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925e,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925f,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925g,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925h,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925i,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBQ925j,What foods {are you/is SP} allergic to?,DBQ_E,Diet Behavior & Nutrition,2,
DBD041,How old was {SP} when {he/she} was first fed formula?,DBQ_F,Diet Behavior & Nutrition,5,
DBD055,This next question is about the first thing that {SP} was given other than ,DBQ_F,Diet Behavior & Nutrition,5,
DBD061,How old was {SP} when {he/she} was first fed milk?,DBQ_F,Diet Behavior & Nutrition,5,
DBQ073A,What type of milk was {SP} first fed?  Was it . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ073B,What type of milk was {SP} first fed?  Was it . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ073C,What type of milk was {SP} first fed?  Was it . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ073D,What type of milk was {SP} first fed?  Was it . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ073E,What type of milk was {SP} first fed? Was it . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ073U,What type of milk was {SP} first fed?  Was it . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ223A,What type of milk was it?  Was it usually . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ223B,What type of milk was it?  Was it usually . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ223C,What type of milk was it?  Was it usually . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ223D,What type of milk was it?  Was it usually . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ223E,What type of milk was it? Was it usually . . .,DBQ_F,Diet Behavior & Nutrition,5,
DBQ223U,What type of milk was it?  Was it usually . . .,DBQ_F,Diet Behavior & Nutrition,5,
CBQ595,Next I'm going to ask a few questions about the nutritional guidelines reco,DBQ_G,Diet Behavior & Nutrition,1,
CBQ600,{Have you/Has SP} heard of the Food Pyramid or the Food Guide Pyramid?,DBQ_G,Diet Behavior & Nutrition,1,
CBQ605,{Have you/Has SP} looked up the My Pyramid plan for a {man/woman/person} {y,DBQ_G,Diet Behavior & Nutrition,1,
CBQ610,{Have you/Has SP} tried to follow the {My Pyramid Plan/Pyramid plan} recomm,DBQ_G,Diet Behavior & Nutrition,1,
CBQ596,Next I'm going to ask a few questions about the nutritional guidelines reco,DBQ_H,Diet Behavior & Nutrition,3,
CBQ606,{Have you/Has SP} looked up the My Plate plan on the internet?,DBQ_H,Diet Behavior & Nutrition,3,
CBQ611,{Have you/Has SP} tried to follow the recommendations in the My Plate plan?,DBQ_H,Diet Behavior & Nutrition,3,
CBQ505,"{I'll tell you when you will need it.} For the first few questions, please ",DBQ_H,Diet Behavior & Nutrition,2,
CBQ535,The last time when you ate out or bought food at a fast-food or pizza place,DBQ_H,Diet Behavior & Nutrition,2,
CBQ540,Did you use the information in deciding which foods to buy? SP interview ve,DBQ_H,Diet Behavior & Nutrition,2,
CBQ545,{Please open your hand card booklet and turn to hand card 1 to answer the n,DBQ_H,Diet Behavior & Nutrition,2,
CBQ550,"[For the following questions, please answer yes or no.] In the past 12 mont",DBQ_H,Diet Behavior & Nutrition,2,
CBQ552,Think about the last time {you/SP} ate at a restaurant with a waiter or wai,DBQ_H,Diet Behavior & Nutrition,2,
CBQ580,"The last time you ate at a restaurant with a waiter or waitress, did you se",DBQ_H,Diet Behavior & Nutrition,2,
CBQ585,Did you use the information in deciding which foods to buy? SP interview ve,DBQ_H,Diet Behavior & Nutrition,2,
CBQ590,{Please look at hand card 1 [again].} If nutrition information were readily,DBQ_H,Diet Behavior & Nutrition,2,
URDDEELC,DEET comment code,DEET_E,DEET and Metabolites,6,
URXDEE,DEET (ug/L),DEET_E,DEET and Metabolites,6,1
URDDEALC,DEET acid comment code,DEET_E,DEET and Metabolites,5,
URXDEA,DEET acid (ug/L),DEET_E,DEET and Metabolites,5,1
URDDHDLC,DHD comment code,DEET_E,DEET and Metabolites,4,
URXDHD,Desethyl hydroxy DEET (ug/L),DEET_E,DEET and Metabolites,4,1
WTSB2YR,Subsample B Weights,DEET_I,DEET Metabolite - Urine,31,
SEQN,Respondent sequence number.,DEMO,Demographic Variables & Sample Weights,876,
RIAGENDR,Gender of the sample person,DEMO,Demographic Variables & Sample Weights,12,
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizens,DEMO,Demographic Variables & Sample Weights,10,
DMDEDUC2,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO,Demographic Variables & Sample Weights,10,
DMDEDUC3,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO,Demographic Variables & Sample Weights,10,
DMDHHSIZ,Total number of people in the Household,DEMO,Demographic Variables & Sample Weights,10,
DMDHRGND,Gender of the household reference person,DEMO,Demographic Variables & Sample Weights,10,
DMDMARTL,Marital Status,DEMO,Demographic Variables & Sample Weights,10,
DMDYRSUS,Length of time SP has been in the US.,DEMO,Demographic Variables & Sample Weights,10,
INDFMPIR,Poverty income ratio (PIR) - a ratio of family income to poverty threshold,DEMO,Demographic Variables & Sample Weights,10,
RIDAGEMN,Best age in months at date of screening for individuals under 85 years of a,DEMO,Demographic Variables & Sample Weights,10,
RIDAGEYR,Best age in years of the sample person at time of HH screening.  Individual,DEMO,Demographic Variables & Sample Weights,10,
RIDEXMON,Six month time period when the examination was performed - two categories: ,DEMO,Demographic Variables & Sample Weights,10,
RIDEXPRG,Pregnancy status at the time of MEC exam.,DEMO,Demographic Variables & Sample Weights,10,
RIDRETH1,Recode of reported race and ethnicity information.,DEMO,Demographic Variables & Sample Weights,10,
RIDSTATR,Interview and Examination Status of the Sample Person.,DEMO,Demographic Variables & Sample Weights,10,
SDDSRVYR,Data Release Number.,DEMO,Demographic Variables & Sample Weights,10,
SDMVPSU,Masked Variance Unit Pseudo-PSU variable for variance estimation,DEMO,Demographic Variables & Sample Weights,10,
SDMVSTRA,Masked Variance Unit Pseudo-Stratum variable for variance estimation,DEMO,Demographic Variables & Sample Weights,10,
WTINT2YR,Interviewed Sample Persons.,DEMO,Demographic Variables & Sample Weights,10,
WTMEC2YR,Both Interviewed and MEC Examined Sample Persons.,DEMO,Demographic Variables & Sample Weights,10,
DMDHRAGE,Age in years of the household reference person at the time of HH screening.,DEMO,Demographic Variables & Sample Weights,9,
DMDHREDU,What is the highest grade or level of school {you have/NON_SP HEAD has} rec,DEMO,Demographic Variables & Sample Weights,9,
DMDHRMAR,Marital Status of household reference person,DEMO,Demographic Variables & Sample Weights,9,
DMDHSEDU,What is the highest grade or level of school {you have/NON-SP SPOUSE has co,DEMO,Demographic Variables & Sample Weights,9,
DMDSCHOL,{Are you/Is SP} now . . .,DEMO,Demographic Variables & Sample Weights,6,
DMQMILIT,Did {you/SP} ever serve in the Armed Forces of the United States?,DEMO,Demographic Variables & Sample Weights,6,
RIDAGEEX,Best age in months at date of examination for individuals under 85 years of,DEMO,Demographic Variables & Sample Weights,6,
DMDBORN,In what country {were you/was SP} born?,DEMO,Demographic Variables & Sample Weights,4,
DMDHRBRN,In what country {were you/was NON-SP Head} born?,DEMO,Demographic Variables & Sample Weights,4,
INDFMINC,Total family income (reported as a range value in dollars),DEMO,Demographic Variables & Sample Weights,4,1
INDHHINC,Total household income (reported as a range value in dollars),DEMO,Demographic Variables & Sample Weights,4,1
DMDEDUC,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO,Demographic Variables & Sample Weights,3,
RIDRETH2,Linked NH3 Race and Ethnicity Recode.,DEMO,Demographic Variables & Sample Weights,3,
RIDPREG,Pregnancy status variable based on all source data. NOTE: This is the previ,DEMO,Demographic Variables & Sample Weights,2,
WTINT4YR,Interviewed Sample Persons. Used for 1999-2002 data collection years only.,DEMO,Demographic Variables & Sample Weights,2,
WTMEC4YR,Both Interviewed and MEC Examined Sample Persons. Used for 1999-2002 data c,DEMO,Demographic Variables & Sample Weights,2,
DMAETHN,Logical Imputation Flag for Ethnicity,DEMO,Demographic Variables & Sample Weights,1,
DMARACE,Logical Imputation Flag for Race Recode,DEMO,Demographic Variables & Sample Weights,1,
SDJ1REPN,Jack Knife Replicate Number,DEMO,Demographic Variables & Sample Weights,1,
WTIREP01,Interview Weight Jack Knife Replicate 01,DEMO,Demographic Variables & Sample Weights,1,
WTIREP02,Interview Weight Jack Knife Replicate 02,DEMO,Demographic Variables & Sample Weights,1,
WTIREP03,Interview Weight Jack Knife Replicate 03,DEMO,Demographic Variables & Sample Weights,1,
WTIREP04,Interview Weight Jack Knife Replicate 04,DEMO,Demographic Variables & Sample Weights,1,
WTIREP05,Interview Weight Jack Knife Replicate 05,DEMO,Demographic Variables & Sample Weights,1,
WTIREP06,Interview Weight Jack Knife Replicate 06,DEMO,Demographic Variables & Sample Weights,1,
WTIREP07,Interview Weight Jack Knife Replicate 07,DEMO,Demographic Variables & Sample Weights,1,
WTIREP08,Interview Weight Jack Knife Replicate 08,DEMO,Demographic Variables & Sample Weights,1,
WTIREP09,Interview Weight Jack Knife Replicate 09,DEMO,Demographic Variables & Sample Weights,1,
WTIREP10,Interview Weight Jack Knife Replicate 10,DEMO,Demographic Variables & Sample Weights,1,
WTIREP11,Interview Weight Jack Knife Replicate 11,DEMO,Demographic Variables & Sample Weights,1,
WTIREP12,Interview Weight Jack Knife Replicate 12,DEMO,Demographic Variables & Sample Weights,1,
WTIREP13,Interview Weight Jack Knife Replicate 13,DEMO,Demographic Variables & Sample Weights,1,
WTIREP14,Interview Weight Jack Knife Replicate 14,DEMO,Demographic Variables & Sample Weights,1,
WTIREP15,Interview Weight Jack Knife Replicate 15,DEMO,Demographic Variables & Sample Weights,1,
WTIREP16,Interview Weight Jack Knife Replicate 16,DEMO,Demographic Variables & Sample Weights,1,
WTIREP17,Interview Weight Jack Knife Replicate 17,DEMO,Demographic Variables & Sample Weights,1,
WTIREP18,Interview Weight Jack Knife Replicate 18,DEMO,Demographic Variables & Sample Weights,1,
WTIREP19,Interview Weight Jack Knife Replicate 19,DEMO,Demographic Variables & Sample Weights,1,
WTIREP20,Interview Weight Jack Knife Replicate 20,DEMO,Demographic Variables & Sample Weights,1,
WTIREP21,Interview Weight Jack Knife Replicate 21,DEMO,Demographic Variables & Sample Weights,1,
WTIREP22,Interview Weight Jack Knife Replicate 22,DEMO,Demographic Variables & Sample Weights,1,
WTIREP23,Interview Weight Jack Knife Replicate 23,DEMO,Demographic Variables & Sample Weights,1,
WTIREP24,Interview Weight Jack Knife Replicate 24,DEMO,Demographic Variables & Sample Weights,1,
WTIREP25,Interview Weight Jack Knife Replicate 25,DEMO,Demographic Variables & Sample Weights,1,
WTIREP26,Interview Weight Jack Knife Replicate 26,DEMO,Demographic Variables & Sample Weights,1,
WTIREP27,Interview Weight Jack Knife Replicate 27,DEMO,Demographic Variables & Sample Weights,1,
WTIREP28,Interview Weight Jack Knife Replicate 28,DEMO,Demographic Variables & Sample Weights,1,
WTIREP29,Interview Weight Jack Knife Replicate 29,DEMO,Demographic Variables & Sample Weights,1,
WTIREP30,Interview Weight Jack Knife Replicate 30,DEMO,Demographic Variables & Sample Weights,1,
WTIREP31,Interview Weight Jack Knife Replicate 31,DEMO,Demographic Variables & Sample Weights,1,
WTIREP32,Interview Weight Jack Knife Replicate 32,DEMO,Demographic Variables & Sample Weights,1,
WTIREP33,Interview Weight Jack Knife Replicate 33,DEMO,Demographic Variables & Sample Weights,1,
WTIREP34,Interview Weight Jack Knife Replicate 34,DEMO,Demographic Variables & Sample Weights,1,
WTIREP35,Interview Weight Jack Knife Replicate 35,DEMO,Demographic Variables & Sample Weights,1,
WTIREP36,Interview Weight Jack Knife Replicate 36,DEMO,Demographic Variables & Sample Weights,1,
WTIREP37,Interview Weight Jack Knife Replicate 37,DEMO,Demographic Variables & Sample Weights,1,
WTIREP38,Interview Weight Jack Knife Replicate 38,DEMO,Demographic Variables & Sample Weights,1,
WTIREP39,Interview Weight Jack Knife Replicate 39,DEMO,Demographic Variables & Sample Weights,1,
WTIREP40,Interview Weight Jack Knife Replicate 40,DEMO,Demographic Variables & Sample Weights,1,
WTIREP41,Interview Weight Jack Knife Replicate 41,DEMO,Demographic Variables & Sample Weights,1,
WTIREP42,Interview Weight Jack Knife Replicate 42,DEMO,Demographic Variables & Sample Weights,1,
WTIREP43,Interview Weight Jack Knife Replicate 43,DEMO,Demographic Variables & Sample Weights,1,
WTIREP44,Interview Weight Jack Knife Replicate 44,DEMO,Demographic Variables & Sample Weights,1,
WTIREP45,Interview Weight Jack Knife Replicate 45,DEMO,Demographic Variables & Sample Weights,1,
WTIREP46,Interview Weight Jack Knife Replicate 46,DEMO,Demographic Variables & Sample Weights,1,
WTIREP47,Interview Weight Jack Knife Replicate 47,DEMO,Demographic Variables & Sample Weights,1,
WTIREP48,Interview Weight Jack Knife Replicate 48,DEMO,Demographic Variables & Sample Weights,1,
WTIREP49,Interview Weight Jack Knife Replicate 49,DEMO,Demographic Variables & Sample Weights,1,
WTIREP50,Interview Weight Jack Knife Replicate 50,DEMO,Demographic Variables & Sample Weights,1,
WTIREP51,Interview Weight Jack Knife Replicate 51,DEMO,Demographic Variables & Sample Weights,1,
WTIREP52,Interview Weight Jack Knife Replicate 52,DEMO,Demographic Variables & Sample Weights,1,
WTMREP01,MEC Exam Weight Jack Knife Replicate 01,DEMO,Demographic Variables & Sample Weights,1,
WTMREP02,MEC Exam Weight Jack Knife Replicate 02,DEMO,Demographic Variables & Sample Weights,1,
WTMREP03,MEC Exam Weight Jack Knife Replicate 03,DEMO,Demographic Variables & Sample Weights,1,
WTMREP04,MEC Exam Weight Jack Knife Replicate 04,DEMO,Demographic Variables & Sample Weights,1,
WTMREP05,MEC Exam Weight Jack Knife Replicate 05,DEMO,Demographic Variables & Sample Weights,1,
WTMREP06,MEC Exam Weight Jack Knife Replicate 06,DEMO,Demographic Variables & Sample Weights,1,
WTMREP07,MEC Exam Weight Jack Knife Replicate 07,DEMO,Demographic Variables & Sample Weights,1,
WTMREP08,MEC Exam Weight Jack Knife Replicate 08,DEMO,Demographic Variables & Sample Weights,1,
WTMREP09,MEC Exam Weight Jack Knife Replicate 09,DEMO,Demographic Variables & Sample Weights,1,
WTMREP10,MEC Exam Weight Jack Knife Replicate 10,DEMO,Demographic Variables & Sample Weights,1,
WTMREP11,MEC Exam Weight Jack Knife Replicate 11,DEMO,Demographic Variables & Sample Weights,1,
WTMREP12,MEC Exam Weight Jack Knife Replicate 12,DEMO,Demographic Variables & Sample Weights,1,
WTMREP13,MEC Exam Weight Jack Knife Replicate 13,DEMO,Demographic Variables & Sample Weights,1,
WTMREP14,MEC Exam Weight Jack Knife Replicate 14,DEMO,Demographic Variables & Sample Weights,1,
WTMREP15,MEC Exam Weight Jack Knife Replicate 15,DEMO,Demographic Variables & Sample Weights,1,
WTMREP16,MEC Exam Weight Jack Knife Replicate 16,DEMO,Demographic Variables & Sample Weights,1,
WTMREP17,MEC Exam Weight Jack Knife Replicate 17,DEMO,Demographic Variables & Sample Weights,1,
WTMREP18,MEC Exam Weight Jack Knife Replicate 18,DEMO,Demographic Variables & Sample Weights,1,
WTMREP19,MEC Exam Weight Jack Knife Replicate 19,DEMO,Demographic Variables & Sample Weights,1,
WTMREP20,MEC Exam Weight Jack Knife Replicate 20,DEMO,Demographic Variables & Sample Weights,1,
WTMREP21,MEC Exam Weight Jack Knife Replicate 21,DEMO,Demographic Variables & Sample Weights,1,
WTMREP22,MEC Exam Weight Jack Knife Replicate 22,DEMO,Demographic Variables & Sample Weights,1,
WTMREP23,MEC Exam Weight Jack Knife Replicate 23,DEMO,Demographic Variables & Sample Weights,1,
WTMREP24,MEC Exam Weight Jack Knife Replicate 24,DEMO,Demographic Variables & Sample Weights,1,
WTMREP25,MEC Exam Weight Jack Knife Replicate 25,DEMO,Demographic Variables & Sample Weights,1,
WTMREP26,MEC Exam Weight Jack Knife Replicate 26,DEMO,Demographic Variables & Sample Weights,1,
WTMREP27,MEC Exam Weight Jack Knife Replicate 27,DEMO,Demographic Variables & Sample Weights,1,
WTMREP28,MEC Exam Weight Jack Knife Replicate 28,DEMO,Demographic Variables & Sample Weights,1,
WTMREP29,MEC Exam Weight Jack Knife Replicate 29,DEMO,Demographic Variables & Sample Weights,1,
WTMREP30,MEC Exam Weight Jack Knife Replicate 30,DEMO,Demographic Variables & Sample Weights,1,
WTMREP31,MEC Exam Weight Jack Knife Replicate 31,DEMO,Demographic Variables & Sample Weights,1,
WTMREP32,MEC Exam Weight Jack Knife Replicate 32,DEMO,Demographic Variables & Sample Weights,1,
WTMREP33,MEC Exam Weight Jack Knife Replicate 33,DEMO,Demographic Variables & Sample Weights,1,
WTMREP34,MEC Exam Weight Jack Knife Replicate 34,DEMO,Demographic Variables & Sample Weights,1,
WTMREP35,MEC Exam Weight Jack Knife Replicate 35,DEMO,Demographic Variables & Sample Weights,1,
WTMREP36,MEC Exam Weight Jack Knife Replicate 36,DEMO,Demographic Variables & Sample Weights,1,
