sig_levels,estimate,evarname,pvarname,evardesc,pvardesc
> BY & Bonf.,-0.04358945282159308,URXMOH,DXXL3A,Mono-(2-ethyl-5-oxohexl) phthalate (ng/mL),L3 area
> BY & Bonf.,0.17833688107956425,SMD630,LBXCRP,How old were you when you smoked a whole cigarette for the first time?,C-reactive protein (mg/dL)
> BY & Bonf.,0.001355373755409115,DR2TM221,RB_ObservedOTUsMean,MFA 22:1 (Docosenoic) (gm),RB_ObservedOTUsMean
> BY & Bonf.,0.015077369581565843,DS2DS,DXXLSA,Any Dietary Supplements taken in the past 24 hour?,Lumbar Spine Area (cm^2)
> BY & Bonf.,3.9960795404742197e-4,DR1TPROT,RB_ShanWienDivSD,Protein (gm),RB_ShanWienDivSD
> BY & Bonf.,-0.005209147547440671,DS1TLYCO,BMXARMC,Lycopene (mcg),Arm Circumference (cm)
> BY & Bonf.,-0.005327436947754693,LBXHE1,DXXLSBMD,Herpes Simplex Virus I,Lumbar Spine Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.0014304353644604517,URXDHD,LBDFOT,Desethyl hydroxy DEET (ug/L),Serum total folate (ng/mL)
> BY & Bonf.,0.0038674985326992775,DR1TMOIS,LBXAPB,Moisture (gm),Apolipoprotein (B) (mg/dL)
> BY & Bonf.,0.012212401139590576,DR1TPFAT,LBXSF5SI,Total polyunsaturated fatty acids (gm),"5,10-Methenyl-tetrahydrofolate (nmol/L)"
> BY & Bonf.,-0.02309620999420988,LBX2DF,DXXLRBMC,"Blood 2,5 Dimethylfuran result",Left Ribs Bone Mineral Content (grams)
> BY & Bonf.,0.008783134715703128,URX25T,LBXTR,"2,4,5-T (ug/L) result",Triglyceride (mg/dL)
> BY & Bonf.,-0.009375198230005828,DSQTVD,DXXL1BMC,Vitamin D (D2 + D3) (mcg),L1 Bone Mineral Composition
> BY & Bonf.,0.02302835030483908,URXAMC,LBXSHBG,N-acetyl-S-(N-methylcarbamoyl)-L-cysteine(ng/mL),"Sex Hormone Binding Globulin (SHBG, nmol/L)"
> BY & Bonf.,0.052109560292019415,LBX101,TeloStd,PCB101 (ng/g),Asso. Std. Dev. of Mean T/S ratio
> BY & Bonf.,-0.0013314894409285395,DR1TP205,DXXWDA,PFA 20:5 (Eicosapentaenoic) (gm),Ward's triangle area (cm^2)
> BY & Bonf.,-0.04608888548155262,LBXMPAH,DXXGYFM,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid,Gynoid fat mass
> BY & Bonf.,-0.006073030182993514,DSQTFDFE,DXASPNK,"Folate, DFE (mcg)",Calculated K for spine
> BY & Bonf.,0.030914106262730175,LBXD07,LBXMPSI,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",Mean platelet volume (fL)
> BY & Bonf.,0.015853303793397656,DSQTSELE,DXXRABMC,Selenium (mcg),Right Arm Bone Mineral Content (grams)
> BY & Bonf.,-0.010014026176855291,DR1TCRYP,RSV_FaPhyloDivMean,Beta-cryptoxanthin (mcg),RSV_FaPhyloDivMean
> BY & Bonf.,0.013547877992559496,DRXTVB12,LBXTSH,Vitamin B12 (mcg),Thyroid stimulating hormone (TSH) (IU/L)
> BY & Bonf.,-0.058724018904534915,URXUMO,DXXLLBMD,"Molybdenum, urine (ng/mL)",Left Leg Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.009936748340242368,DR1TSELE,LBXLYPCT,Selenium (mcg),Lymphocyte percent (%)
> BY & Bonf.,0.003671959920794475,DR2TVB6,DXXL4BMD,Vitamin B6 (mg),L4 Bone Mineral Density
> BY & Bonf.,0.03327843756241219,DS1TNIAC,DXXHEA,Niacin (mg),Head Area (cm^2)
> BY & Bonf.,-0.020649480644434493,DS2TPOTA,LBXSHBG,Potassium (mg),"Sex Hormone Binding Globulin (SHBG, nmol/L)"
> BY & Bonf.,-0.0035676018719292216,DSQTZINC,RB_ShanWienDivSD,Zinc (mg),RB_ShanWienDivSD
> BY & Bonf.,-0.003786700109019028,DR2TIRON,LBXSTR,Iron (mg),Triglycerides (mg/dL)
> BY & Bonf.,0.03676799543287538,LBXHP2C,DXXPEBMD,Cobas HPV Swab High Risk,Pelvis Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.006665987935349753,DR1TVB12,BPXPLS,Vitamin B12 (mcg),60 sec. pulse (30 sec. pulse * 2):
> BY & Bonf.,-0.001953577554102242,DR2TP226,DXXINA,PFA 22:6 (Docosahexaenoic) (gm),Intertrochanter area (cm^2)
> BY & Bonf.,-0.04444480204887355,LBXMPAH,LBXIN,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid,Insulin (uU/mL )
> BY & Bonf.,-0.024252077280160694,URXUAB,DXDTRLE,Urinary Arsenobetaine (ug/L),Trunk Lean excl Bone Mineral Content (grams)
> BY & Bonf.,-0.04596219049445029,URXOXY,DXDTOFAT,Oxypyrimidine (ug/L) result,Total Fat (g)
> BY & Bonf.,0.0011889644875028567,DR2TFA,LBDNENO,Folic acid (mcg),Segmented neutrophils num (1000 cell/uL)
> BY & Bonf.,0.027168545229835844,LBXVXY,LBXAPB,Blood m-/p-Xylene Result (ng/mL),Apolipoprotein (B) (mg/dL)
> BY & Bonf.,0.009237965873870792,URXOP3,DXAFMRK,Dimethylthiophosphate (ug/L),Calculated K for femur
> BY & Bonf.,0.0011930516444211327,DR2TVARA,LBXP1,Vitamin A as retinol activity equivalents (mcg),"Prostate specific antigen, total (ng/mL)"
> BY & Bonf.,-0.006373066367457732,URXMHP,LBXFB,Mono-(2-ethyl)-hexyl phthalate (ng/mL),Fibrinogen (mg/dL)
> BY & Bonf.,-0.15258761644432964,LBXVCF,DXDLLTOT,Blood Chloroform Result (pg/mL),Left Leg Total (grams)
> BY & Bonf.,0.006728269305067024,DS1TVD,BMXARML,Vitamin D (D2 + D3) (mcg),Upper Arm Length (cm)
> BY & Bonf.,-0.015470021763064017,LBXVD2MS,DXXLAA,25-hydroxyvitamin D2 (nmol/L),Left Arm Area (cm^2)
> BY & Bonf.,0.20138645050024503,LBDHBG,DXXHELI,Hepatitis B surface antigen,Head Lean incl Bone Mineral Content (grams)
> BY & Bonf.,0.0072075161241555346,DR2TVK,LBXSCK,Vitamin K (mcg),Creatine Phosphokinase(CPK) (IU/L)
> BY & Bonf.,-0.00445175860869824,URXOP6,DXXTSBMC,Diethyldithiophosphate (ug/L),Thoracic Spine Bone Mineral Content (grams)
> BY & Bonf.,-0.017661848358761584,LBX167,LBXRBCSI,PCB167 (ng/g),Red blood cell count (million cells/uL)
> BY & Bonf.,-0.01181209341883709,DR2TTFAT,LBXHGB,Total fat (gm),Hemoglobin (g/dL)
> BY & Bonf.,-0.0028292572128387626,LBXVE3MS,RB_FaPhyloDivMean,epi-25-hydroxyvitamin D3 (nmol/L),RB_FaPhyloDivMean
> BY & Bonf.,0.01587951511891801,DR2TM221,DXDLLLE,MFA 22:1 (Docosenoic) (gm),Left Leg Lean excl Bone Mineral Content (grams)
> BY & Bonf.,-0.024116503117922475,DR2TACAR,DXXANLM,Alpha-carotene (mcg),Android lean mass
> BY & Bonf.,0.04222029036402031,DR1TS140,DXXRAFAT,SFA 14:0 (Tetradecanoic) (gm),Right Arm Fat (grams)
> BY & Bonf.,-0.005155933192131527,URX1TB,DXXTRA,"2,4,5-trichlorophenol (ug/L) result",Trochanter area (cm^2)
> BY & Bonf.,-0.007407907359753502,LBXVFN,MSYSTOLIC,Blood Furan (ng/mL),Systolic Mean
> BY & Bonf.,-0.037137446311345045,URXUMMA,DXDSTBMC,Urinary Monomethylarsonic acid (ug/L),Subtotal Bone Mineral Content (grams)
> BY & Bonf.,0.007249563625688567,URXMZP,RB_InverseSimpsonMean,Mono-benzyl phthalate (ng/mL),RB_InverseSimpsonMean
> BY & Bonf.,0.022405590716404192,SMQ_current_ever_never,LBXSCLSI,"Smoking: current, ever, never",Chloride (mmol/L)
> BY & Bonf.,-0.023348264492422825,URXETD,DXXL3BMC,Enterodiol (ng/mL),L3 Bone Mineral Composition
> BY & Bonf.,0.01256675789219072,URXETL,SPXNFVC,Enterolactone (ng/mL),"Baseline 1st Test Spirometry, Forced Vital Capacity, in mL."
> BY & Bonf.,8.923879931781272e-4,DR1TS060,BMXARML,SFA 6:0 (Hexanoic) (gm),Upper Arm Length (cm)
> BY & Bonf.,0.06009991736310091,DSQTLYCO,DXXL4BMD,Lycopene (mcg),L4 Bone Mineral Density
> BY & Bonf.,0.0038383043746405203,URXMU2,LBXNEPCT,3-methyluric acid (umol/L),Segmented neutrophils percent (%)
> BY & Bonf.,0.028360328332986087,DSQTVB6,DXXLAA,Vitamin B6 (mg),Left Arm Area (cm^2)
> BY & Bonf.,-0.01884295654568849,LBXV07N,DXDLLPF,Blood Heptane (ng/mL),Left Leg Percent Fat
> BY & Bonf.,-0.0040739353591605475,DR1TP184,DXXLRBMC,PFA 18:4 (Octadecatetraenoic) (gm),Left Ribs Bone Mineral Content (grams)
> BY & Bonf.,-0.03625101562050515,URXMHP,DXXL3A,Mono-(2-ethyl)-hexyl phthalate (ng/mL),L3 area
> BY & Bonf.,0.0025172303461851245,URXMZP,LBXTIB,Mono-benzyl phthalate (ng/mL),"TIBC, Frozen Serum (ug/dL)"
> BY & Bonf.,7.864363399854541e-4,LBXHE1,LBXSATSI,Herpes Simplex Virus I,Alanine aminotransferase ALT (U/L)
> BY & Bonf.,0.018073672797662452,DSQTCALC,LBXEST,Calcium (mg),Estradiol (pg/mL)
> BY & Bonf.,-0.013374997969753773,URXMX3,DXXOFA,7-methylxanthine (umol/L),Total femur area (cm^2)
> BY & Bonf.,0.048735848281697074,DRXTS140,LBXIN,SFA 14:0 (Tetradecanoic) (gm),Insulin (uU/mL )
> BY & Bonf.,0.11120697018986082,LBXS11MK,LBXFOL,HPV 11(Merck competitive Luminex assay),"Folate, serum (ng/mL)"
> BY & Bonf.,-0.003695387394412747,LBXVCT,DXXRALI,Blood Carbon Tetrachloride Result (ng/mL),Right Arm Lean incl Bone Mineral Content (grams)
> BY & Bonf.,-0.007701899524987405,DR2TM181,LBDLYMNO,MFA 18:1 (Octadecenoic) (gm),Lymphocyte number (1000 cells/uL)
> BY & Bonf.,0.05233271657256319,LBXPDE,LBDLYMNO,ppDDE (ng/g),Lymphocyte number (1000 cells/uL)
> BY & Bonf.,-0.026320959403086364,DR1TATOA,DXXTSBMD,Added alpha-tocopherol (Vitamin E) (mg),Thoracic Spine Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.07785844047541596,LBDHBG,DXDRLPF,Hepatitis B surface antigen,Right Leg Percent Fat
> BY & Bonf.,-0.0014086010968665903,DR2TSFAT,LBXNEPCT,Total saturated fatty acids (gm),Segmented neutrophils percent (%)
> BY & Bonf.,0.026906333415129883,LBXMFOS,DXXVFATV,Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) (ng/mL),Visceral adipose tissue volume
> BY & Bonf.,-0.017205304118003556,DR1TP204,LBXSLDSI,PFA 20:4 (Eicosatetraenoic) (gm),Lactate dehydrogenase LDH (U/L)
> BY & Bonf.,0.027764664633355498,DR2TM181,DXDTRPF,MFA 18:1 (Octadecenoic) (gm),Trunk Percent Fat
> BY & Bonf.,0.005987645185693828,DR1TNUMF,RB_InverseSimpsonSD,Total number of foods reported in the individual foods file,RB_InverseSimpsonSD
> BY & Bonf.,-0.021138975880374885,URXBPS,DXXLLBMD,"Urinary 4,4'sulfonyldiphenol",Left Leg Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.023212041595207285,LBXVCT,DXXGYFM,Blood Carbon Tetrachloride Result (ng/mL),Gynoid fat mass
> BY & Bonf.,0.03168833785378487,DS2TIODI,BMXLEG,Iodine (mcg),Upper Leg Length (cm)
> BY & Bonf.,1.9654288203068397e-4,LBXVDEE,DXXGPFAT,Blood Diethyl Ether (ng/mL),Gynoid percent fat
> BY & Bonf.,0.03473897604888646,LBXPFDO,LBXSTB,Perfluorododecanoic acid,Total bilirubin (mg/dL)
> BY & Bonf.,-0.041253244374254525,DR1TCOPP,DXDSTTOT,Copper (mg),Subtotal (Total excl Head) (g)
> BY & Bonf.,0.01564911166475796,URXSCN,RSV_InverseSimpsonMean,Urinary thiocyanate (ng/mL),RSV_InverseSimpsonMean
> BY & Bonf.,0.014362598840446519,DR1TS080,DXXTATV,SFA 8:0 (Octanoic) (gm),Total abdominal fat volume
> BY & Bonf.,-0.04710345869607033,DR2TS160,LBXIRN,SFA 16:0 (Hexadecanoic) (gm),"Iron, Frozen Serum (ug/dL)"
> BY & Bonf.,-0.013916330141079883,LBXPFOS,RB_FaPhyloDivSD,Perfluorooctane sulfonic acid,RB_FaPhyloDivSD
> BY & Bonf.,0.016931558953827124,URXGNS,CVDFITLV,Genistein (ng/mL),Cardiovascular fitness level
> BY & Bonf.,0.027856220356823322,DSQTVB1,DXXL2A,Thiamin (Vitamin B1) (mg),L2 area
> BY & Bonf.,-0.028265770265973343,LBXRST,LBXEPP,Retinyl stearate(ug/dL),Protoporphyrin(ug/dL RBC)
> BY & Bonf.,0.048622145364312475,SMQ670,LBXSTB,"During the past 12 months, have you stopped smoking for one day or longer b",Total bilirubin (mg/dL)
> BY & Bonf.,-0.014060048929575932,DR2TP225,DXXTOTBS,PFA 22:5 (Docosapentaenoic) (gm),Total Trabecular Bone Score
> BY & Bonf.,-0.0187250653379943,URXDIZ,LBXMC,Oxypyrimidine (ug/L) result,Mean cell hemoglobin concentration (g/dL)
> BY & Bonf.,-0.05375204604150229,URXUMO,DXXRLBMC,"Molybdenum, urine (ng/mL)",Right Leg Bone Mineral Content (grams)
> BY & Bonf.,0.009158113068880105,DRXTS060,BMXTRI,SFA 6:0 (Hexanoic) (gm),Triceps Skinfold (mm)
> BY & Bonf.,-0.0016203664785490934,SMD415A,LBDBANO,Total # of cigarette smokers in home,Basophils number (1000 cells/uL)
> BY & Bonf.,-0.013877024336571541,URX24D,DXXLLBMC,"2,4-D (ug/L) result",Left Leg Bone Mineral Content (grams)
> BY & Bonf.,0.01142510249864127,DR2TVB2,DXXRABMD,Riboflavin (Vitamin B2) (mg),Right Arm Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.009064732315936998,URXUSR,LBDMONO,"Strontium, urine (ug/L)",Monocyte number (1000 cells/uL)
> BY & Bonf.,-0.005763860393498872,DR1TS100,DXXTRBMC,SFA 10:0 (Decanoic) (gm),Trochanter bone mineral content (gm)
> BY & Bonf.,0.029507483766139233,DR1TM201,DXXRLFAT,MFA 20:1 (Eicosenoic) (gm),Right Leg Fat (grams)
> BY & Bonf.,0.033914593275654256,LBXTNA,CVDFITLV,Trans-nonachlor (ng/g),Cardiovascular fitness level
> BY & Bonf.,0.015177231706316536,SMD415A,LBXMOPCT,Total # of cigarette smokers in home,Monocyte percent (%)
> BY & Bonf.,0.04213386324842058,DR1TM181,BMXTHICR,MFA 18:1 (Octadecenoic) (gm),Thigh Circumference (cm)
> BY & Bonf.,6.515111880090733e-4,DR2TP183,LBXRBF,PFA 18:3 (Octadecatrienoic) (gm),"Folate, RBC (ng/mL RBC)"
> BY & Bonf.,0.010644867234333085,DR1TS040,LBDNENO,SFA 4:0 (Butanoic) (gm),Segmented neutrophils num (1000 cell/uL)
> BY & Bonf.,-0.05035418423222614,URXP17,DXXOFBMD,9-fluorene (ng/L),Total femur bone mineral density (gm/cm^2)
> BY & Bonf.,0.03936334521927974,DSQTFDFE,DXXGYLM,"Folate, DFE (mcg)",Gynoid lean mass
> BY & Bonf.,0.024198677685182163,LBXGLY,LBXCRP,Glycideamide (pmol/g Hb),C-reactive protein (mg/dL)
> BY & Bonf.,0.004908354449338619,DS1TVB1,DXDSTLE,Thiamin (Vitamin B1) (mg),Subtotal Lean excl BMC (g)
> BY & Bonf.,-0.005436069096019939,DS2TZINC,DXDRALE,Zinc (mg),Right Arm Lean excl Bone Mineral Content (grams)
> BY & Bonf.,-0.13449571959465872,URXUTRI,DXXLRA,"Trichomonas, urine",Left Ribs Area(cm^2)
> BY & Bonf.,-0.03596478036421584,DR2TKCAL,DXXL3BMC,Energy (kcal),L3 Bone Mineral Composition
> BY & Bonf.,0.04548775844443674,DR1TPROT,DXXL2BMD,Protein (gm),L2 Bone Mineral Density
> BY & Bonf.,-0.041223829277098244,URXUAS3,LBXTT4,Urinary Arsenous acid (ug/L),"Thyroxine, total (T4) (ug/dL)"
> BY & Bonf.,-0.011526492897581049,DSQTVD,BMXHT,Vitamin D (D2 + D3) (mcg),Standing Height (cm)
> BY & Bonf.,0.023076297273993802,SMQ_current_ever_never,RSV_InverseSimpsonMean,"Smoking: current, ever, never",RSV_InverseSimpsonMean
> BY & Bonf.,-2.7200331933139996e-4,URXMNM,DXXWDA,Mono-n-methyl phthalate (ng/mL),Ward's triangle area (cm^2)
> BY & Bonf.,0.025158763918731893,DR1TSODI,DXXHEBMD,Sodium (mg) (adjusted for salt use in food preparation),Head Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.382439662065608,LBXHCR,LBXAPB,Hepatitis C RNA (HCV-RNA),Apolipoprotein (B) (mg/dL)
> BY & Bonf.,-0.002958041459231195,DR1TLYCO,DXXL1A,Lycopene (mcg),L1 area
> BY & Bonf.,0.0825544441753962,LBXCRY,LBXFOL,b-cryptoxanthin(ug/dL),"Folate, serum (ng/mL)"
> BY & Bonf.,0.003006640432240619,DSQTIODI,URXUMA,Iodine (mcg),"Albumin, urine (ug/mL)"
> BY & Bonf.,-0.013509433962092096,DR1TSUGR,DXXL3A,Total sugars (gm),L3 area
> BY & Bonf.,-0.02067795876990891,URXTRS,DXXLLLI,"Urinary  2,4,4'-Trichloro-2'-hydroxyphenyl ether (Triclosan)",Left Leg Lean incl Bone Mineral Content (grams)
> BY & Bonf.,-0.01361047974880575,DSQTPHOS,LBDMONO,Phosphorus (mg),Monocyte number (1000 cells/uL)
> BY & Bonf.,0.01983849762386175,DR2TIRON,LBXSPH,Iron (mg),Phosphorus (mg/dL)
> BY & Bonf.,0.007583253938126866,LBXVC6,DXDRAPF,Blood Cyclohexane (ng/mL),Right Arm Percent Fat
> BY & Bonf.,-0.010846267182808346,DR2TS080,RSV_InverseSimpsonMean,SFA 8:0 (Octanoic) (gm),RSV_InverseSimpsonMean
> BY & Bonf.,0.11272846292912814,LBXHCR,LBXRBCSI,Hepatitis C RNA (HCV-RNA),Red blood cell count (million cells/uL)
> BY & Bonf.,0.015714313514282503,URXMC1,BMXWAIST,Mono-(3-carboxypropyl) phthalate (ng/mL),Waist Circumference (cm)
> BY & Bonf.,-0.005118192182762817,DR1TVB6,LBXSGL,Vitamin B6 (mg),"Glucose, serum (mg/dL)"
> BY & Bonf.,0.00666821981352277,DR2TSFAT,LBXTSH1,Total saturated fatty acids (gm),Thyroid stimulating hormone (uIU/mL)
> BY & Bonf.,-0.024475042771522026,URXMCP,DXXL2BMD,Mono-cyclohexyl phthalate (ng/mL),L2 Bone Mineral Density
> BY & Bonf.,2.5018453420323517e-4,DRXTP225,TeloStd,PFA 22:5 (Docosapentaenoic) (gm),Asso. Std. Dev. of Mean T/S ratio
> BY & Bonf.,-0.016703410665458388,DS2TVC,DXXLAA,Vitamin C (mg),Left Arm Area (cm^2)
> BY & Bonf.,0.016603761948520947,LBXPFHP,LBXSIR,Perfluoroheptanoic acid,"Iron, refigerated (ug/dL)"
> BY & Bonf.,0.06754453295910609,URXMX7,DXXTATA,"1,3,7-trimethylxanthine(caffeine)(umol/L)",Total abdominal fat area
> BY & Bonf.,0.01932402916302004,URXAPE,BMXTRI,Acephate (ug/L),Triceps Skinfold (mm)
> BY & Bonf.,-0.05552536242001943,URXAAM,DXXL4BMD,N-acetyl-S-(2-carbamoylethyl)-L-cysteine(ng/mL),L4 Bone Mineral Density
> BY & Bonf.,-0.059164278069735315,URXP04,DXDHETOT,2-fluorene (ng/L),Head Total (grams)
> BY & Bonf.,-0.022216312854651213,DR2TPOTA,LBXT4F,Potassium (mg),"Thyroxine, free (ng/dL)"
> BY & Bonf.,-0.04949733085808849,URXP10,DXDTRLE,1-pyrene (ng/L),Trunk Lean excl Bone Mineral Content (grams)
> BY & Bonf.,0.005531435897112307,DR1TRET,LBXTC,Retinol (mcg),Total cholesterol (mg/dL)
> BY & Bonf.,0.03558847147575564,SMQ720,DXXHEFAT,"During the past 5 days, on the days {you/he/she} smoked, how many cigarette",Head Fat (grams)
> BY & Bonf.,-0.016670518567461302,DR2TCALC,LBXTSH1,Calcium (mg),Thyroid stimulating hormone (uIU/mL)
> BY & Bonf.,0.004208509992741332,DR1TVD,DXXRABMD,Vitamin D (D2 + D3) (mcg),Right Arm Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.017372407065029728,URX14D,LBXP1,"2,5-dichlorophenol (ug/L)","Prostate specific antigen, total (ng/mL)"
> BY & Bonf.,-0.023155464679281097,LBXPFOA,RSV_ObservedOTUsSD,Perfluorooctanoic acid,RSV_ObservedOTUsSD
> BY & Bonf.,-0.002568859430133277,URXMCP,DXAFMRK,Mono-cyclohexyl phthalate (ng/mL),Calculated K for femur
> BY & Bonf.,-0.019752363694114632,DR1TVARA,DXDSTLI,Vitamin A as retinol activity equivalents (mcg),Subtotal Lean incl BMC (g)
> BY & Bonf.,-0.01963259345695357,DR1TFDFE,DXDTRBMC,Folate as dietary folate equivalents (mcg),Trunk Bone Mineral Content (grams)
> BY & Bonf.,-0.08139110930785144,SMD415A,LBXIN,Total # of cigarette smokers in home,Insulin (uU/mL )
> BY & Bonf.,-0.011920466628313338,DR2TS040,RB_ShanWienDivSD,SFA 4:0 (Butanoic) (gm),RB_ShanWienDivSD
> BY & Bonf.,0.0022201355082720944,LBXV1D,DXXLLA,"Blood 1,2-Dichlorobenzene Result",Left Leg Area(cm^2)
> BY & Bonf.,-0.00819271642875711,DS2TFDFE,DXDTOBMC,"Folate, DFE (mcg)",Total Bone Mineral Content (g)
> BY & Bonf.,-0.2790429917290703,LBXHE1,LBXT4F,Herpes Simplex Virus I,"Thyroxine, free (ng/dL)"
> BY & Bonf.,0.008702870452780195,URXMNP,DXDSTBMD,Mono-isononyl phthalate (ng/mL),Subtotal Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.013704367884810116,DSQTVB12,DXXL4BMD,Vitamin B12 (mcg),L4 Bone Mineral Density
> BY & Bonf.,-0.008969331871539565,LBXIHG,DXXOSA,"Mercury, inorganic (ug/L)",Total spine area
> BY & Bonf.,0.00899030605681116,URXBPF,DXDRLTOT,"Urinary 4,4' dihydroxydiphenylmethane",Right Leg Total (grams)
> BY & Bonf.,-0.029851907588708714,DR2TATOC,DXXNKBMC,Vitamin E as alpha-tocopherol (mg),Femoral neck bone mineral content (gm)
> BY & Bonf.,0.02794403936139997,LBDHCV,LBXT4,Hepatitis C antibody (confirmed),Thyroxine (T4) (ug/dL)
> BY & Bonf.,0.02899052252181858,URXDEA,LBXMC,DEET acid (ug/L),Mean cell hemoglobin concentration (g/dL)
> BY & Bonf.,-0.01654075916076521,URXP04,DXXL4BMC,2-fluorene (ng/L),L4 Bone Mineral Composition
> BY & Bonf.,0.08749250701953963,SMD415A,LBXMMA,Total # of cigarette smokers in home,Methylmalonic acid (umol/L)
> BY & Bonf.,0.0026923641329173347,DS1TVB12,BMXWAIST,Vitamin B12 (mcg),Waist Circumference (cm)
> BY & Bonf.,0.019312466424171972,URX1TB,LBXSPH,"2,4,5-trichlorophenol (ug/L) result",Phosphorus (mg/dL)
> BY & Bonf.,-0.032337943434256694,DR2TSFAT,RB_ObservedOTUsMean,Total saturated fatty acids (gm),RB_ObservedOTUsMean
> BY & Bonf.,0.05051765767900403,URXBPH,RB_FaPhyloDivSD,Urinary Bisphenol A,RB_FaPhyloDivSD
> BY & Bonf.,0.020600794988046175,DS2DS,LBDEONO,Any Dietary Supplements taken in the past 24 hour?,Eosinophils number (1000 cells/uL)
> BY & Bonf.,0.017415083897156364,URXMX1,LBXMCVSI,1-methylxanthine (umol/L),Mean cell volume (fL)
> BY & Bonf.,-0.019304149744997143,LBDRPCR,LBXSUA,Roche HPV linear array (LA) summary result,Uric acid (mg/dL)
> BY & Bonf.,0.013850733023619298,LBXVD2MS,LBXTR,25-hydroxyvitamin D2 (nmol/L),Triglyceride (mg/dL)
> BY & Bonf.,0.008378159082280585,DR2TCAFF,LBXSUA,Caffeine (mg),Uric acid (mg/dL)
> BY & Bonf.,-0.017781039513810718,DR1TPROT,LBXCRP,Protein (gm),C-reactive protein (mg/dL)
> BY & Bonf.,-0.06728757264578902,URXP05,DXXNKBMD,3-phenanthrene (ng/L),Femoral neck bone mineral density (gm/cm^2)
> BY & Bonf.,0.018332549059423973,DR2TNIAC,LBXSF2SI,Niacin (mg),Folic acid (nmol/L)
> BY & Bonf.,0.01578838598263151,DR2TSELE,DXDSTPF,Selenium (mcg),Subtotal Percent Fat
> BY & Bonf.,-0.019592797077667208,URXETU,DXXWDBMC,Ethylenethio urea (ug/L),Ward's triangle bone mineral content (gm)
> BY & Bonf.,-0.028019596503791905,LBX180,LBDNENO,PCB180 (ng/g),Segmented neutrophils num (1000 cell/uL)
> BY & Bonf.,-0.005346628982529466,URXMOP,LBXSBU,Mono-n-octyl phthalate (ng/mL),Blood urea nitrogen (mg/dL)
> BY & Bonf.,-0.5531668078074788,SMD630,LBXLYPCT,How old were you when you smoked a whole cigarette for the first time?,Lymphocyte percent (%)
> BY & Bonf.,0.03278418544470202,LBXBMN,LBXSUA,Blood manganese (ug/L),Uric acid (mg/dL)
> BY & Bonf.,0.0030658384396531372,URXCNP,LBDLYMNO,Mono(carboxynonyl) phthalate (ng/mL),Lymphocyte number (1000 cells/uL)
> BY & Bonf.,-0.016783652794308945,URXBMA,DXDLLPF,N-acetyl-S-(benzyl)-L-cysteine(ng/mL),Left Leg Percent Fat
> BY & Bonf.,-0.04663743245322783,DR2TVB1,LBDLDL,Thiamin (Vitamin B1) (mg),LDL-cholesterol (mg/dL)
> BY & Bonf.,-0.05692081196569522,URXMAD,DXXWDBMC,Mandelic acid(ng/mL),Ward's triangle bone mineral content (gm)
> BY & Bonf.,-0.0031883470942508122,DR2TCAFF,DXXLSBMC,Caffeine (mg),Lumbar Spine Bone Mineral Content (grams)
> BY & Bonf.,0.02410217757159225,LBXD05,LBXSPH,"1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin (hpcdd) (fg/g)",Phosphorus (mg/dL)
> BY & Bonf.,-0.008388762444144892,LBXPFBS,BMXLEG,Perfluorobutane sulfonic acid,Upper Leg Length (cm)
> BY & Bonf.,0.029685314135561736,DRXTCAFF,LBXSCLSI,Caffeine (mg),Chloride (mmol/L)
> BY & Bonf.,0.013002214493047061,DR2TS100,BPXPLS,SFA 10:0 (Decanoic) (gm),60 sec. pulse (30 sec. pulse * 2):
> BY & Bonf.,-0.012641111034793592,DR2TS180,LBXPS4,SFA 18:0 (Octadecanoic) (gm),Complexed prostate specific antigen (ng/mL)
> BY & Bonf.,0.018905877652959438,DR2TS160,DXXRABMD,SFA 16:0 (Hexadecanoic) (gm),Right Arm Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.01635344792404741,DR2TCHL,LBXSF4SI,Total choline (mg),Tetrahydrofolate (nmol/L)
> BY & Bonf.,0.08147717448185834,SMQ710,DXDLAPF,"During the past 5 days {including today}, on how many days did {you/he/she}",Left Arm Percent Fat
> BY & Bonf.,0.00497836403008305,DRXTZINC,URXUMA,Zinc (mg),"Albumin, urine (ug/mL)"
> BY & Bonf.,-0.07548480113121878,LBXPFDO,LBXGLU,Perfluorododecanoic acid,Fasting Glucose (mg/dL)
> BY & Bonf.,0.09407939154374095,LBD199,LBXSAL,PCB199 (ng/g),Albumin (g/dL)
